ID,Scheme,Source,Language,Comment,Sentiment
3882,Stand Up India Scheme,YouTube,hinglish,Kya rent agreement uahan ka lagega jahan ka Adhar card pr address hai,Neutral
3883,Stand Up India Scheme,YouTube,hi,कोइ लोन ना मिलता है कितना भी कोशिश कर ले,Neutral
3884,Stand Up India Scheme,YouTube,hinglish,Aapka kya aapko to kamaai ho jatai h youtube se... Hmlog pgl hojate hn bank walo k nautanki dekhte dekhte... Koi bhi bank ka,Neutral
3885,Stand Up India Scheme,YouTube,hi,St /Sc वाले हर जगह घुसे है देश का क्या भला होगा,Neutral
3886,Stand Up India Scheme,YouTube,en,Project Report kaha se banegi mam,Neutral
3887,Stand Up India Scheme,YouTube,hinglish,Stand-up india scheme lone lene ke liye Bank se bat kiya aur sare yogte rakhte huwe bhi BM 1 months gumne ke bat bolta hai ap ko experience nahi hai rental property me nahi karte iske liye kya kare,Neutral
3888,Stand Up India Scheme,YouTube,en,Project report kaise banaye please tell me,Neutral
3889,Stand Up India Scheme,YouTube,hinglish,"Mam
Pata kerne per kisi ko bhi iss loan ke liye pata he nahi h mujhe jarurat h bt jab bank mai ja rahi hu to her koi kah duta h ki aisha koi bhi loan nahi h please mam ku6  batay mai ky Karu 😒",Negative
3890,Stand Up India Scheme,YouTube,en,Maam Please advice how to make project report,Neutral
3891,Stand Up India Scheme,YouTube,en,Milk products project report,Neutral
3892,Stand Up India Scheme,YouTube,en,Nominal interest rate matalb kitana,Neutral
3893,Stand Up India Scheme,YouTube,en,Parsin kitna or kitna sal tak dega,Neutral
3894,Stand Up India Scheme,YouTube,en,Kindy Share Video on Project Report and also do's and dont's,Neutral
3895,Stand Up India Scheme,YouTube,hi,ओपन कॅटेगरी की महिलायोको लाभ मिलेगा क्या ।,Neutral
3896,Stand Up India Scheme,YouTube,en,Yes mam project report per vedio banao,Neutral
3897,Stand Up India Scheme,YouTube,hinglish,"Achaaa!!! Galat logo ko nahi dete... Matlab jo log desh chod ke bhag gaye wo log achee thee isiliye arbooo rupya unko de diya aur hum genuine logo ko paper pe sabit karna padega bhalee hi same kaam kitna bhi acha chal raha ho.

Apko kisi tarah se koi dosh nahi de rahahu .... Bas kadwa sach batana zaruri hai",Positive
3898,Stand Up India Scheme,YouTube,en,no bank promotes this scheme.  sbi. completely deny these schemes are not.  in bank,Positive
3899,Stand Up India Scheme,YouTube,en,Yes mam pls teach us about how to make a project report,Neutral
3900,Stand Up India Scheme,YouTube,en,Please provide any thing of project report,Neutral
3901,Stand Up India Scheme,YouTube,en,Mam i am 58yrs old can i apply,Positive
3902,Atal Pension Yojana,YouTube,hinglish,Jo Bayless hai AK bar me Kiya nahi kat leta hai beywj bhait leta hai,Neutral
3903,Atal Pension Yojana,YouTube,en,"Na hum jiyenge na pension utha payenge 
Pension pending rah jayega",Neutral
3904,Atal Pension Yojana,YouTube,en,Mera to 209 kat jata hai 3 month me,Neutral
3905,Atal Pension Yojana,YouTube,en,Mere 106 repay month mai 4 br paise ktte h,Negative
3906,Atal Pension Yojana,YouTube,hi,सरकार का कोई भरोसा नहीं चिरंजीव बंद कर दिया ये भी बंद कर दे,Negative
3907,Atal Pension Yojana,YouTube,hinglish,Ajkal 60 ka hota kon hai jaldi tapk jate hai,Neutral
3908,Atal Pension Yojana,YouTube,hinglish,60 balo ko pension aise be lag jati hai,Neutral
3909,Atal Pension Yojana,YouTube,hinglish,"Agar koi 18 sal se bhare or 27/28 m govt job lag jaye to,, bhi milti h kya😂😂😂😂",Neutral
3910,Atal Pension Yojana,YouTube,hi,यदि बीच में किस टूट जाए तो क्या दोबारा भी पुनर चालान हो सकता है,Neutral
3911,Atal Pension Yojana,YouTube,en,Ese band kese kar sakte he,Neutral
3912,Atal Pension Yojana,YouTube,en,Jo housewife hai kya vo ise apply kr sakte hai,Neutral
3913,Atal Pension Yojana,YouTube,hi,सर सर मेरा अटल पेन्शन का खाता है और मुझे वो कार्ड आज मांग रहे है वो बोलते ऑनलाईन कीजिए वो कैसा करना है आप मुझे कैसा करना है बताइये प्लीज,Neutral
3914,Atal Pension Yojana,YouTube,en,"What is the definition of tax payers. Pl intimate.
I am filling IT return but  not tax payer.",Positive
3915,Atal Pension Yojana,YouTube,hinglish,Jub insan 60 sal ka hoga 😊  socho aaj se 40 saal baad 5000 rupaye ki kya aukaat reh jayegi 🤔 😅,Neutral
3916,Atal Pension Yojana,YouTube,en,Accident ho jay or ham bach gaye to milega paisa,Neutral
3917,Atal Pension Yojana,YouTube,en,Ye yojna band kaise kare,Neutral
3918,Atal Pension Yojana,YouTube,en,Kya eshme insurance v hai,Neutral
3919,Atal Pension Yojana,YouTube,hinglish,60 age hone se pehle husband wife dono kii death ho jaati hain then iss case me kyaa hogi,Neutral
3920,Atal Pension Yojana,YouTube,en,Right information mam,Positive
3921,Atal Pension Yojana,YouTube,hinglish,Hmara  deposite liya paise hi hume wapis pension ke tor par milega? Ya apna paise ek sath bhi milenge?,Neutral
3922,Atal Pension Yojana,YouTube,en,Thank you so much ma'am for the video 🙏❤️,Positive
3923,Atal Pension Yojana,YouTube,hi,20/30  साल बाद हर महीने 1000 मिलना तो कुछ भी नहीं है जब तक तो महंगाई आसमान छु रही होगी..... 😅😅,Negative
3924,Atal Pension Yojana,YouTube,hi,60 साल तक ही जी जाएं वही बहुत है आज के टाइम में..... 😅😅,Neutral
3925,Atal Pension Yojana,YouTube,en,Thank u so much,Positive
3926,Atal Pension Yojana,YouTube,hinglish,Please mujhe ek baat  Ham 151 dete Hain Apy uska kaise kaise Kya hoga please bataiye,Neutral
3927,Atal Pension Yojana,YouTube,hinglish,Ye Gorment ko 50 sal se lagu karna chahiye tha pesa milna chlu ho jaye,Neutral
3928,Atal Pension Yojana,YouTube,hinglish,APY  ki tarah se 64rs bank se automatic deduct hua meine liya bhi nahi Hai,Neutral
3929,Atal Pension Yojana,YouTube,en,Bank of baroda wale apne aap laga rahe h meri wife k account s he minth 70 Rs cut hote hai,Neutral
3930,Atal Pension Yojana,YouTube,hinglish,Monthly instalment jo jama karte hai wo interest ke saath 60 saal tak 7/8 lakh ho jata hai .usi ka interest sarkar degi pension ke naam pe...murkh bana raha sarkar.,Neutral
3931,Atal Pension Yojana,YouTube,hinglish,Sirf ladki ka liya hai kya,Neutral
3932,Atal Pension Yojana,YouTube,en,10000omprakashgourd,Neutral
3933,Atal Pension Yojana,YouTube,hi,हम जो जमा करेंगे वही हमें वापिस होगा,Neutral
3934,Atal Pension Yojana,YouTube,hi,इतनी अच्छी तरह बताने के लिए आपका धन्यवाद।,Positive
3935,Atal Pension Yojana,YouTube,hi,पांच हजार कम हैं। इसे दस हजार कर दीजिए।,Neutral
3936,Atal Pension Yojana,YouTube,en,"Bad scheme💯💯💯 jab tak 60 saal ki age hogi tab tak to,, 5000 ki value 1000 ke aas pas hogi,, tb kya krenge itni badi pension ka😅😅😅",Negative
3937,Atal Pension Yojana,YouTube,hinglish,Mam Mera account Punjab gramin bank me ha yeh johna automatic lag gye ha 50 rs par month kya benefit ha batana,Neutral
3938,Atal Pension Yojana,YouTube,hinglish,Agar Ham 2 sal nivesh kiye apy mein to uske bad humko return mil sakta hai uska balance,Negative
3939,Atal Pension Yojana,YouTube,hi,"बहुत अच्छी जानकारी दी आप और बहुत कम समय में ऐसे ही योजना की जानकारी लाते रहिएगा सरकारी कामों का ताकि गरीब लोग को मदद हो सके, और हा अब ये चाहिए कि ये अटल पेंशन योजना कैसे पता करें कि कितना हुआ कहाँ हुआ और कैसे निकले",Positive
3940,Atal Pension Yojana,YouTube,hinglish,Samjhaya bahut ache se pehli bar koi dhang se clear bataya,Positive
3941,Atal Pension Yojana,YouTube,en,Apy account band krne k liye kya Krna higa,Neutral
3942,Atal Pension Yojana,YouTube,hi,ईस पलिसि कि आधार पर हामे कोई डकुमेन्टट नेहि दिए गए । क्या हाम ओर हामारे नमिनि किस आघार पर क्लेम करेगा वाताए ?,Neutral
3943,Atal Pension Yojana,YouTube,hinglish,Aadmi 60sal se pahile mar gaya to kya hoga mam,Neutral
3944,Atal Pension Yojana,YouTube,en,5000 monthly ke alawa,Neutral
3945,Atal Pension Yojana,YouTube,en,Medam ye btao ki total maturity 60 ki umar ke baad one time payment kitna milega,Neutral
3946,Atal Pension Yojana,YouTube,en,Nicely explained,Positive
3947,Atal Pension Yojana,YouTube,en,"50 sal me hi penshan lagu karna ta, 60 sal jada h",Neutral
3948,Atal Pension Yojana,YouTube,hinglish,Me to a form nahi bhara but yaha mera acount se har mahina 64 rupee cut raha hai,Neutral
3949,Atal Pension Yojana,YouTube,en,Isse jada to mutual fund dega,Neutral
3950,Atal Pension Yojana,YouTube,en,Account opening charge?,Neutral
3951,Atal Pension Yojana,YouTube,en,Bahut sundar jankari maim dhanyawad 👌👌👍🙏,Neutral
3952,Atal Pension Yojana,YouTube,hinglish,In case koi 60 se phele he chala jata tab,Neutral
3953,Atal Pension Yojana,YouTube,hi,जानकारी अच्छा लगा,Positive
3954,Atal Pension Yojana,YouTube,hinglish,Agr account wale agr 60 saal se pehle marjata hai tu paisa kaun jama karega,Neutral
3955,Atal Pension Yojana,YouTube,en,Ishak tool free number,Positive
3956,Atal Pension Yojana,YouTube,hi,"मेम मेरे ac से 1087 rs कटते है बहुत ज्यादा महंगा नहीं पड़ रहा है
बंद करा ठीक रहेगा न",Negative
3957,Atal Pension Yojana,YouTube,en,Madam Maine 1000 ki atal pension yojana chalu karvai thi jiska payment 902 katni the lekin comedy 181 khata,Neutral
3958,Atal Pension Yojana,YouTube,hinglish,JENISH NAYAK meine pehle 181rupiya account se kat karta tha 1000 orto abhi ushko jada rupiya kat karke jada 5000  rupiya karne kiliye Kya karna chahiye kese karna chahiye,Neutral
3959,Atal Pension Yojana,YouTube,en,Bahut sahi bataya apne,Neutral
3960,Atal Pension Yojana,YouTube,hinglish,Mahengai ke anusar paisa badhega ki nahi,Neutral
3961,Atal Pension Yojana,YouTube,hi,Mere account se 209 रु कटे हैं,Negative
3962,Atal Pension Yojana,YouTube,hinglish,Madam hamara axis bank se har mahine mein 82 Rupees cut te hain APY,Neutral
3963,Atal Pension Yojana,YouTube,hi,अगर APY में पैसे जमा करवा रहे है ओर व्यक्ति की मृत्यु हो जाती है तो फिर पैसे मिलेंगे क्या ????,Neutral
3964,Atal Pension Yojana,YouTube,hi,Mera har mahiye 54 rupYe kt jata h kisi sal me to 454 रुपए जाता h,Neutral
3965,Atal Pension Yojana,YouTube,en,Thank so much didi ❤,Positive
3966,Atal Pension Yojana,YouTube,hinglish,Aapki saari baate bahut achi lagi or mem interest kitne milega hamare jo bhi paise jma huye hai vo hi pension ke rup milenge agar vo khatam ho gai to fir nhi milegi pension ❤,Neutral
3967,Atal Pension Yojana,YouTube,hi,42 साल बाद 1000 रुपए की अहमियत 1 रुपए के बराबर होगी बकबास योजना है,Neutral
3968,Atal Pension Yojana,YouTube,hi,लाभार्थी अगर शादी शुदा न हो और उसकी मृत्यु हो जाती है तो इसका लाभ किसको मिलेगा।,Neutral
3969,Atal Pension Yojana,YouTube,hinglish,Isko app ke madhyam se kaise check Karen,Neutral
3970,Atal Pension Yojana,YouTube,hinglish,👍 Iske alava bhi aur koi acchi scheme Ho government ke liye government ki please batate rahiye Chhote bacchon ke liye Jaise Maine do ladke Hain Ek 3 Sal Ka hai aur ek De Dhai Sal Ka Hai unke Bhavishya Ke Liye Main Achcha kya kar sakta hun,Positive
3971,Atal Pension Yojana,YouTube,en,Aatal yojana kitne prakar ki hoti hai,Neutral
3972,Atal Pension Yojana,YouTube,en,Dhanyabad Mam 🙏,Neutral
3973,Atal Pension Yojana,YouTube,en,Super and.super,Positive
3974,Atal Pension Yojana,YouTube,en,"if husband comes in tax slab , his wife is eligible for this yojana ????",Neutral
3975,Atal Pension Yojana,YouTube,hinglish,Scheme nahin scam Hai garment ka,Neutral
3976,Atal Pension Yojana,YouTube,en,"Sir ye skim liye h unko , state government free pention jo deta h abhi 1100 bihar me mil raha h , to kya dono pention milega 60 ke bad ya koe ek hi milega",Negative
3977,Atal Pension Yojana,YouTube,hinglish,A band nahe hora online grievance diya hey fir bank jakay close karne kay puri koshi kari par paise account may nahe aye,Neutral
3978,Atal Pension Yojana,YouTube,en,Jabardasti without my consent bank nai apy enable kar diya 2 baar letter and form fill kar diya 1 saal hogaya hai canara bank close nhi kar raha apy 😢,Neutral
3979,Atal Pension Yojana,YouTube,en,Ye bta do kaise tracking kr skte h,Neutral
3980,Atal Pension Yojana,YouTube,en,Ho sakta hai samay ke sath pension amount increase ho,Neutral
3981,Atal Pension Yojana,YouTube,hinglish,Mera bap is scheme me nahi tha lekin me pension karliya after father death,Neutral
3982,Atal Pension Yojana,YouTube,hinglish,Main pahle indian citizen tha ab european hu kya mujhe iske benifits milenge ?,Positive
3983,Atal Pension Yojana,YouTube,en,59 pe karta hu 60 pe pension chalu ho jayegi 😂,Neutral
3984,Atal Pension Yojana,YouTube,hinglish,Bilkul bekar faltu ki chij Hai Jo kisi ke Kam nahin aane Wali aapko lagta Hai Kisi Ko ki aane Wale samay mein 60 sal ki age asaan  baat hogi,Negative
3985,Atal Pension Yojana,YouTube,hinglish,25 year ka 2400 saal ka 60000 hajar Sarkar aapse legi aur 1000 rupay mahine ka denge 60 sal ki umra ke bad life hi kitni hoti hai jitna tumne jama kiya hai sirf usko pane ke liye 5 sal aur jina padega interest or benefit ka tu bhul hi jao 😂😂😂😂😂😂,Negative
3986,Atal Pension Yojana,YouTube,hinglish,"Bilkul ghatiya scheme hai 
agar aapka age 23 saal hai aur aap 37 saal  k baad aapko pension milenge to 
Aaj ka 5000 agar 5% inflation k hisab se 37 saal  baad me
5000/(1+0.05)^37= 822 rupiya hi rah jayega
 to samajh lo abhi 822 rupya per month me kaise guzara kar sakta hai 
😂",Neutral
3987,Atal Pension Yojana,YouTube,en,"Protean 
is the agency i guess",Neutral
3988,Atal Pension Yojana,YouTube,en,This scheme is only for BPL but most of the taxpayers  already open 😅 and waiting to claim a monthly pension 😅😅,Positive
3989,Atal Pension Yojana,YouTube,hinglish,Meri automatic atal pension 46rs deduct ho rahe hai or uski ID bhi nhi pta kese access kru me aapni I'd pta nhi kisne bna di 🤦😕,Neutral
3990,Atal Pension Yojana,YouTube,en,Implementing agency is pfrda,Neutral
3991,Atal Pension Yojana,YouTube,en,60 sal pahile dono margaye to,Neutral
3992,Atal Pension Yojana,YouTube,en,1000 us 20 sap bad 100 rs ke barabar hoge sir 😂,Negative
3993,Atal Pension Yojana,YouTube,hinglish,Mujhe ye clarity nahi ho rahi hai ki 2500 govt deti hi hai fir ye Jo amount hoga kya ye 2500 me add hokr aega??? Please answer,Neutral
3994,Atal Pension Yojana,YouTube,en,"Nodel ministry- ministry of finance 
Implimenting agency- PFRDA",Neutral
3995,Atal Pension Yojana,YouTube,en,Ministry of finance,Neutral
3996,Atal Pension Yojana,YouTube,en,Government ka contribution kitna hoga?,Neutral
3997,Atal Pension Yojana,YouTube,en,"Halpt,live,nomber,chahia",Neutral
3998,Atal Pension Yojana,YouTube,hinglish,ABHI TAK  KUCHH NAHI MILA HE KYA BOLE HAM  63 SAL KE HE  HAM GUJARAT SE,Neutral
3999,Atal Pension Yojana,YouTube,hi,नहीं बढ़ाना चाहिए था....,Negative
4000,Atal Pension Yojana,YouTube,en,Incomplete information given,Neutral
4001,Atal Pension Yojana,YouTube,hinglish,18 to 40 years tak karna hai nahi balki upto age 40 tak aadmi eligible for apply ho sakta hai. Clear batayen. Confuse n karen,Positive
4002,Atal Pension Yojana,YouTube,en,Govt job vale b is pension m paise jma kr skty h kya jinke salery km h,Neutral
4003,Atal Pension Yojana,YouTube,en,"Isme contribution krna hota h, it's not free",Negative
4004,Atal Pension Yojana,YouTube,hinglish,"Jisne pension hi band Kar diya uske Nam per pure desh ko pension Dene ka plan hai, ye bhi batao mam 
Hypocrisy ki bhi Sima hai",Positive
4005,Atal Pension Yojana,YouTube,hinglish,"Mai government job me hu ,job me Jane ke  pahle hi atal pension Yojana mere pas h ,4-5 sal ho gaya hai har month 64 rupees kat raha hai kya mujhe iska laabh milega mujhe is yojana ko band kar dena chahiye",Negative
4006,Atal Pension Yojana,YouTube,en,"Good morning mam,
Jiska husband railway me job karta h kay uski wife ye yojna ka benefits milsakta h ka plz bataye",Positive
4007,Atal Pension Yojana,YouTube,hi,नेताओं के दोगलेपन का उत्कृष्ट नमूना है ये पेंशन प्लान आप सोचिए 2065 में 1000 से 5000 की क्या ही वैल्यू होगी,Neutral
4008,Atal Pension Yojana,YouTube,hinglish,"Koi faida nehi hai ...Hum jayse k liye 6saal pahele jab mai 41ki thi tab  pata chala atal pension ki bareme ..Kam se kam 50saal  tak age limitation karna chahiye tha .. Taki  hum jaise mahilao k liye thora sa income ho jo ki house wife he,  or unki pati koi noukri nahi karti hai ..  chota dukan me kum karte ho patidev .. afsoos !!!!!",Neutral
4009,Atal Pension Yojana,YouTube,en,"2025 ke 5000 main
25 sal bad 2050 main 
 5000 main kya ayega",Neutral
4010,Atal Pension Yojana,YouTube,en,Koye fayda nhye sarkar mujhye dye mye bhye dey dunga faltu skem,Neutral
4011,Atal Pension Yojana,YouTube,en,What for those who are above 40 or 50? If someone wants 30k as pension then what will be the plan?,Positive
4012,Atal Pension Yojana,YouTube,hinglish,Sharm karo tum log ye loot ka jariya hai sharm karo modi janta sab kuch samajh raha hai ye jhanse me mat aao,Neutral
4013,Atal Pension Yojana,YouTube,hinglish,50 ki age me pention milna shuru hona chahiye tha kyo ki ajkal 60 se pehle hi upar nikal lete hai,Neutral
4014,Atal Pension Yojana,YouTube,en,Not clear extended details !,Neutral
4015,Atal Pension Yojana,YouTube,hinglish,"Mera sixty year ho gaya hai, main kaise atal pension me ragistration kare .",Positive
4016,Atal Pension Yojana,YouTube,hinglish,Pura jankari nahi hai. Par jo aapne adhuri jankari diy hai oh Sahi hai ismein ismein final amount milta Hai nominee ko 8lakh tak ka,Neutral
4017,Atal Pension Yojana,YouTube,hinglish,Ghanta pension Yojana ye chay wala ka nautanki sab log samajh raha hai koi bhi mat fasna ye nautanki me,Neutral
4018,Atal Pension Yojana,YouTube,hinglish,Income tax payer nahi  hona chahiye is scheme ko lene ke liye,Neutral
4019,Atal Pension Yojana,YouTube,hi,इस सरकार की सभी योजन बंद होने वाली है  दाढ़ी वाले बाबाओं के साथ ही बंद होगी,Neutral
4020,Atal Pension Yojana,YouTube,hinglish,"Naukari toh mili nahi pension kaha se denge main pichle 14 saal se berojgar hu biwi bacche ne paise ke liye mar pit kar ghar se bhaga diya dost, naat ,ristedar sab dur chalegaye izzat maan pratishta sab nust ho gaya ab kisi se koi apeksha nahi kewal maut ka intezar hai jai shree Ram",Positive
4021,Atal Pension Yojana,YouTube,hi,"🙏 नमस्कार सर 🙏👍❤️ से 
जय हिन्द सर 🇮🇳",Neutral
4022,Atal Pension Yojana,YouTube,en,Atal pension ke sath sath bridha pension milega,Neutral
4023,Atal Pension Yojana,YouTube,en,"Apy,ka,contact,nomber,office,chahiye",Neutral
4024,Atal Pension Yojana,YouTube,hinglish,Sar agar humne 1000 wali policy banaa rakhi hai aur use 5000 ki badhani Hai to Kya badha sakte hain,Neutral
4025,Atal Pension Yojana,YouTube,en,Sir me ek mena pase jama nahi karya kuc samasya he kia me karttik,Neutral
4026,Atal Pension Yojana,YouTube,en,AP ki jankari Sahi hai me kiya Hu 💯,Neutral
4027,Atal Pension Yojana,YouTube,hinglish,Bahut achcha jankari Diya aapane lekin yah sirf chart Banakar Jara dikha denge to aur achcha rahega,Neutral
4028,Atal Pension Yojana,YouTube,hinglish,Post office walo ko APY ke bare me kuchh knowledge hi nahi rahta,Neutral
4029,Atal Pension Yojana,YouTube,hi,सर मैं अटल पेंशन योजना लेना चाहता हूं तो क्या 60 साल बाद मुख्यमंत्री वृद्धजन पेंशन योजना का लाभ मिलेगा या नहीं जो अभी बिहार में 1100 है बिहार मे आप का रिप्लाई का मुझे इंतजार है🙏🙏,Negative
4030,Atal Pension Yojana,YouTube,hi,अटल पेंशन लेने वाला व्यक्ति बुढ़ापा पेंशन भी ले सकताहै,Neutral
4031,Atal Pension Yojana,YouTube,en,🚩🙏❤ Dhanywad ji ❤🙏🚩,Neutral
4032,Atal Pension Yojana,YouTube,hinglish,Monthly instalment jo jama karte hai wo interest ke saath 60 saal tak 7/8 lakh ho jata hai .usi ka interest sarkar degi pension ke naam pe...murkh bana raha sarkar. Tu sale bakwaas band kar,Negative
4033,Atal Pension Yojana,YouTube,hinglish,band karne pe paisa wapas nahi aa raha aur tu  lakho rupay dilwa raha .nahi sudhroge t,Neutral
4034,Atal Pension Yojana,YouTube,hinglish,"Apy walo ko old age pension milega ki nahi 60 saal ke baad? 
?",Positive
4035,Atal Pension Yojana,YouTube,en,Kurta baccha chosmis 😅😅😅,Neutral
4036,Atal Pension Yojana,YouTube,hinglish,Agar husband service me hai aur wife ko APY milega kya,Neutral
4037,Atal Pension Yojana,YouTube,hi,अटल पेन्शन योजना कब बडेगी,Neutral
4038,Atal Pension Yojana,YouTube,en,SIR PPF KA BARA MA BATAYA,Neutral
4039,Atal Pension Yojana,YouTube,en,SIR HANDICAFE RAILWAYPASS KA BARA MA BATAYA,Neutral
4040,Atal Pension Yojana,YouTube,hi,भाई मेरे अकाउंट से 948 काटते हैं हर महीने इसमें सरकार कुछ भी नहीं जमा करती कहे झूठ बोल रहे हो,Negative
4041,Atal Pension Yojana,YouTube,en,How to change nominees,Neutral
4042,Atal Pension Yojana,YouTube,hinglish,Bekar yojana hai,Neutral
4043,Atal Pension Yojana,YouTube,en,Mera Ladka 25 Sal  death ho gai h 1500 dene ki baat kar rahe h Kuchh Nahi milta  h,Neutral
4044,Atal Pension Yojana,YouTube,en,Sir ye student kr sakte hai ya nhi,Neutral
4045,Atal Pension Yojana,YouTube,hinglish,"galat jankari deraha hai, sahi se nhi. sahi mai likh raha hu, 60 saal tak umr tak contribution hota hai APY me, aur after death, nomine chaye to pension le ya chaye to ek must rakam,",Neutral
4046,Atal Pension Yojana,YouTube,en,"60 Saal baad 5000 ka mahina ka kya value hoga, Inflation har saal 6-7% badhta he bolo, sir.",Neutral
4047,Atal Pension Yojana,YouTube,en,ur telling style is too good sir.,Positive
4048,Atal Pension Yojana,YouTube,hi,अकाउंट फ्रीज हो जाने के कारण अटल पेंशन योजना बंद हो गई है दोबारा चालू कैसे काराऐ,Neutral
4049,Atal Pension Yojana,YouTube,hi,सर अगर पत्नी के नाम करी हो और उनका मर्त्य हो जाये और पति ज़िन्दा हो तो क्या होगा,Neutral
4050,Atal Pension Yojana,YouTube,en,Jiska atl pensan yojna chalu h usko virdha pensan bhi milega bhai❤,Neutral
4051,Atal Pension Yojana,YouTube,en,Sir contribution years? Upto 60 years or upto 40 years age?,Neutral
4052,Atal Pension Yojana,YouTube,en,Wrong information,Negative
4053,Atal Pension Yojana,YouTube,hinglish,Sir yea plan sbi ka Best hai ya Post office ka Best hai please bataiye,Positive
4054,Atal Pension Yojana,YouTube,en,1000 2056 kya hoga,Neutral
4055,Atal Pension Yojana,YouTube,en,Aapko.hinfustan.ki.ksdam,Neutral
4056,Atal Pension Yojana,YouTube,en,"Sir, you really explained Atal Pension Yojna very well. Congratulations.",Positive
4057,Atal Pension Yojana,YouTube,hi,3000 ke pension में क्या क्या मिल सकता हैं,Neutral
4058,Atal Pension Yojana,YouTube,hi,अति सुंदर सुझाव देने के लिए मैं भी करवाऊ गा अपनी पत्नी का,Neutral
4059,Atal Pension Yojana,YouTube,en,Kripa comment ka sir jbab dijiye,Neutral
4060,Atal Pension Yojana,YouTube,hinglish,2015 me niyojit teacher thi usme attal pension  yojna suru ki  uskebad  1 january  2025  me vishisht teacher bhi to kya un teacher ko eska labh milega kripya shi Jankari de ydi eska labh milega to paisa jma krenge nhi to paisa jma nhi karenge es yojna me,Neutral
4061,Atal Pension Yojana,YouTube,hinglish,Govt ko hi fayda hai ba,Positive
4062,Atal Pension Yojana,YouTube,en,1000 ki kya value rhegi ek cup chai bhi nhi ayegi .,Neutral
4063,Atal Pension Yojana,YouTube,hinglish,Galat information govt contribution nahi karti. Jab scheme start ki thi tab shuru me diya tha ab nahi hai. Lumsum amount ek bar milta hai vo vhi bachhe ko. Galat salat bta rahe ho,Neutral
4064,Atal Pension Yojana,YouTube,hinglish,"Galat jankari de rahe ho kyu, koi v ajate hai or kuch bhi bak ke chala jate hai",Neutral
4065,Atal Pension Yojana,YouTube,hi,"25 साल की उम्र में अटल पेंशन योजना में शामिल होने पर, आपको 60 साल की उम्र तक पेंशन प्राप्त करने के लिए, कम से कम 35 सालों तक अंशदान करना होगा।

अंशदान अवधि की गणनाः

अटल पेंशन योजना में, आपको 60 साल की उम्र के बाद पेंशन प्राप्त करने के लिए, आपको कम से कम 20 वर्षों तक अंशदान करना होता है।

अगर आप 25 साल की उम्र में योजना में शामिल होते हैं, तो 60 साल की उम्र तक पहुंचने के लिए आपको 35 वर्षों तक अंशदान करना होगा।

अन्य महत्वपूर्ण बातेंः

अंशदान की अवधि आपकी उम्र के अनुसार भिन्न हो सकती है। यदि आप 40 साल की उम्र में शामिल होते हैं, तो आपको 20 वर्षों तक अंशदान करना होगा।

आप अपनी पेंशन राशि को 1000, 2000, 3000, 4000, या 5000 रुपये प्रति माह के बीच चुन सकते हैं।

अटल पेंशन योजना में समय से पहले बाहर निकलने की अनुमति नहीं है।

आप अपनी पेंशन के लिए बैंक जाकर आवेदन कर सकते हैं।",Negative
4066,Atal Pension Yojana,YouTube,hi,इनकमटैक्स पेयर भी ले सकता है क्या,Neutral
4067,Atal Pension Yojana,YouTube,hi,"मैं बोलना चाहता हूं कि फ्यूचर में अटल पेंशन कभी बंद भी तो हो सकता है या नहीं 
मैं बोलना चाहता हूं कि वाइस चांस कोई दूसरी सरकार आ गई तो इस अटल पेंशन को बंद भी तो कर सकता है क्योंकि हम लोग का उम्र 20 साल है अब 40 साल के बाद देखा कि बंद हो गया तो भाई एक ₹200000 अपना तो डूबना फिर भी",Negative
4068,Atal Pension Yojana,YouTube,en,Sir ji 60 saal tak kon jita hai,Neutral
4069,Atal Pension Yojana,YouTube,en,Nps scheme bata,Neutral
4070,Atal Pension Yojana,YouTube,en,Kitne sal thak rupye bharna parta h,Neutral
4071,Atal Pension Yojana,YouTube,hinglish,Agar kuch Saal k baad plan ko chorna chahi toh kya hoga,Neutral
4072,Atal Pension Yojana,YouTube,hi,सर इसको एक बैंक से दुसरे बैंक में ट्रांसफर कैसे करें इसके लिए एक वीडियो बनाएं,Neutral
4073,Atal Pension Yojana,YouTube,hinglish,Maine nomani me apne patni ka name Diya hai. To kya mere bacho ko labh milega ya nominee change karwana padega?,Negative
4074,Atal Pension Yojana,YouTube,hinglish,Koi bhi bat batane ke liye pahle jankari hona jaruri hai,Neutral
4075,Atal Pension Yojana,YouTube,hinglish,Aadha gyan bahut khatrnak hota hai 😂,Neutral
4076,Atal Pension Yojana,YouTube,hi,इन्सान खाली हाथ आया है खाली हाथ जायेगा 😂,Neutral
4077,Atal Pension Yojana,YouTube,hinglish,Sar umra to ghatati ja rahi hai 50 60 sal Kaun jayega 50 sal mein bahut mushkil se dikhai dete Hain Jo Paisa katta hoga vah to sarkari maje Mar jayegi chhote bacchon ke kam mein aaega Ham logon ka kam kahan aaega jab umari katri 50 sal ki umra mein chal bachenge Jo San 2002 mein jo 1999 ke Jo bacche ke janme hue hain,Neutral
4078,Atal Pension Yojana,YouTube,en,60 saal me aadmi mar jaata he  apy bhima kaa kiya hoga,Neutral
4079,Atal Pension Yojana,YouTube,en,Galat jankari de raha hai ye,Neutral
4080,Atal Pension Yojana,YouTube,hinglish,Govt paisa nahi jama karta hai,Neutral
